text,ref,translated,source_zip_file,similarity_score,language_pair,source_lang,target_lang,model,file_path,similarity_score_pct,Unnamed: 2,Unnamed: 3
Kpekpe aɖe nɔ anyi ku ɖe motsyɔnu si woama na sitsoƒedilaawo ŋu.,There was a meeting about the face mask distribution to the refugees.,Some animals died due to the vaccine given to the livestock.,run_1,0.24169921875,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,24.169921875,,
"Enɔ ɖevi si gbɔ wòtso, eye wònɔ kɔƒea me, le ŋuve me kple ƒu si te ɖe ƒu la ŋu.","He lived a carefree childhood, spent in the village, in the bush, and on the nearby sea.","The child who was born from her, and who lives in the house, is in the room with the cloth that is spread on the cloth.",run_1,0.25341796875,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,25.341796875,,
Eyae nye agbanɔamedzi be dziɖuɖua nakpɔ egbɔ be atike vɔ̃ɖiwo li le kɔdzi.,It's the government's responsibility to make sure there are drugs in hospitals.,She told the nurse to check if there are bitter medicines on the shelf.,run_1,0.35791015625,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,35.791015625,,
"Kpɔ nyuie, tsɔ aʋawɔnu vɔ̃ɖiwo kpe ɖe fiafitɔwo ŋu.","Be careful, thieves carry dangerous weapons along with them.","Look well, use medicinal herbs to add to the traps.",run_1,0.233642578125,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,23.3642578125,,
Mele be nàƒo nu le telefon dzi esime nèle ʋu kum o elabena wolée le esi wòku ʋu ŋumaɖɔɖotɔe ta.,You should not talk on the phone while driving as He was arrested for driving recklessly.,Mele said nothing on the phone when he was being robbed because they were at the location where he had been robbed before.,run_1,0.382080078125,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,38.2080078125,,
"Alesi atiglinyia ƒe ŋutigbalẽ sɔe nye be wòaɖe nyɔnuvi ƒewuivi si le sɔhɛmenɔɣi ƒe kɔnuwo me tom afia be, abe alesi lãa sesẽ ene la, nenemae wòle be wòasẽ ŋu nenema ke le agbe me.","The relevance of the elephant skin is to show the teenage girl going through the puberty rites that, just as the meat is hard, that's how strong she should equally be in life.","The constitution of Alesi Atiglinyia states that she will reveal the secret of the girl who works in the rooms of the palace, so that, just as the snake is strong, so too she wants to be strong in life.",run_1,0.334228515625,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,33.4228515625,,
"Esia fia kɔte be, Fianyɔnua ƒe dɔe wònye be wòatia amesi dze tso fiaƒomea me","This clearly signify, it is the role of the Queenmother to select the qualify candidate from the royal family","The king declared that, the princess's job was to choose who would emerge from the palace",run_1,0.58349609375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,58.349609375,,
"Ŋutifafa, ɖoɖowɔwɔ kple dedienɔnɔ ƒe gbedeasi ye sinimaa la nɔ gbeƒã ɖem.","The film was preaching the word of peace, order and stability.","Peace, the message of reconciliation and tolerance is what always comes first.",run_1,0.49951171875,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,49.951171875,,
Ame geɖewo xɔ tso lãmeka falɛfalɛa me le esi wokpɔe be lãmesẽnyawo le míaƒe lãmesẽnyawo ŋu,A good number of people have recovered from the coronavirus proving that we have a strong health sector,Those who benefit from informal lending do so when they realize that the interest rates are lower than those of their financial institutions,run_1,0.08697509765625,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,8.697509765625,,
Nuɖuɖu deŋgɔwo le abe amegbetɔwo ƒe agbe me.,Beans contain a high food value for human life.,Food taboos are in the lives of human beings.,run_1,0.35302734375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,35.302734375,,
Nyɔnu aɖewo yia ŋgɔ wu ɣleti asieke siwo wofɔ fufɔfɔ ɖo la dometɔ aɖewo.,Some women go beyond or below the supposed nine months of their pregnancy.,Some women went ahead by several months those who were declared pregnant among the insiders/members.,run_1,0.591796875,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,59.1796875,,
"Eɖe srɔ̃ esime wòxɔ ƒe wuienyi eye eya hã nɔ dɔ wɔm le ketekedzeƒea, eye esi wòxɔ ƒe wuiasieke la, edzi nyɔnuvi.","He married at the age of eighteen also working at the railway station, at the age of nineteen he had a daughter.","She was pregnant when she got married and that one also stayed working at the shop, and when she was seven months pregnant, she gave birth to a girl.",run_1,0.5087890625,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,50.87890625,,
"Enye nunyala, eye wòtea ŋu wɔa nu ɖe dukɔ sia ƒe kplɔla ŋu.",She is a wise and capable leader for this country.,"He/She is very wise, that is why he/she was chosen as the leader of this country.",run_1,0.5986328125,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,59.86328125,,
Ekpena ɖe amegbetɔ ƒe susu ƒe dɔwɔwɔ nyuie ŋu,It helps in the efficiency of the human mind,A proverb about the good workings of the human mind,run_1,0.50146484375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,50.146484375,,
"Le ƒe 2020 me la, wowɔ numekuku le sukudede kple sukudede ŋu le Ghana afisia. When the investigation ended, some of the things that came to light are as follows.","In 2020, a survey of schooling and education was conducted here in Ghana. When the investigation ended, some of the things that came to light are as follows.","In the year 2020, a survey was conducted on education and education-related matters in Ghana here. When the investigation ended, some of the things that came to light are as follows.",run_1,0.96240234375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,96.240234375,,
Míate ŋu aƒo nya ta tso esia me be ame ɖesiaɖe ƒe ɣeyiɣi si wòtsɔna kpɔa dzidzedze la le etɔxɛ.,We can infer from this that each person's time to success is unique.,The system that is used to measure each person's movement that is observed carefully is in the record.,run_1,0.29638671875,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,29.638671875,,
"Nyateƒee, kɔnu kple akpa siawo katã ɖe Fianyɔnu Dada ƒe vevienyenye kple vevienyenye fia le Akantɔwo ƒe dekɔnuwo kple hadomegbenɔnɔ me. Ẽ, le Akantɔwo ƒe hadomegbenɔnɔ me la, Fianyɔnu vidada geɖewo ɖu fia kpe ɖe Fiawo ŋu.","Indeed, all these customs and roles signify the importance and relevance of the Queenmother in Akans' culture and society. Yes, in the Akan society, many Queenmothers have reigned alongside Kings.","Indeed, all these battles and wars are attributed to Queen Mother's bravery and courage shown in the Akan wars and military history. Yes, in the Akan military history, many Queen Mother descendants also ruled alongside Kings.",run_1,0.69677734375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,69.677734375,,
Sɔhɛ siawo ƒe gãtɔ le atike vɔ̃ɖi zazã me.,Majority of the youth are involved in drug abuse.,The roots of these trees are used in the preparation of herbal medicine.,run_1,0.09625244140625,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,9.625244140625,,
"Azɔ hã, aɖuɖɔɖɔɖɔ kple lũhɛ kpena ɖe ame ŋu wòɖea aɖi ɖesiaɖe ɖa le ŋutilãa me.","Also, rubbing the gums with a razor helps to remove any toxins from the body.","Moreover, excessive eating and drinking imposed on a person also causes problems in the body over time.",run_1,0.151123046875,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,15.1123046875,,
"Ŋkeke kɔkɔe siawo dzɔna le Kwasiɖagbe, Dzoɖa, Braɖa, Kuda, Fiɖa kple Memleɖagbe.","These sacred days occurs on Sunday, Monday, Tuesday, Wednesday, Friday and Saturday.","All these days begin on Sunday, Monday, Tuesday, Wednesday, Friday and Saturday.",run_1,0.732421875,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,73.2421875,,
"Esi wònɔ nu ƒom le Kwame Nkrumah Dzɔdzɔmeŋutinunya kple Mɔ̃ɖaŋununya Yunivɛsiti (KNUST) le woƒe ƒe 40 xɔxɔ le nusiwo wogbugbɔ zãna me la, ekpɔ be manyo ne wokpɔ nuwɔna sia ƒomevi eye woŋe aɖaba ƒu wo dzi o, ne wokpɔ nusiwo tsi tre ɖe se ŋu.","When he was speaking in the Kwame Nkrumah University of Science and Technology (KNUST) during their 40th anniversary in recycling, he saw that it wouldn't be nice if they see this kind of practices and ignored them, when they see things against the law happening.","A student who was studying at Kwame Nkrumah University of Science and Technology (KNUST) in their 40th year of receiving what they usually use, found that they wanted to investigate this matter further and were not satisfied, if they looked at what remained according to the law.",run_1,0.611328125,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,61.1328125,,
"Ɣebubuɣiwo hã ne wokpɔ deti ƒe aŋgbawo le anyigba aɖe dzi la, efia be wole nya hem le anyigbaa ŋu.","Other times, too, when palm fronds are seen on a piece of land, it indicates litigation over the land.",The presence of bubbles on the surface of certain soils also indicates that they want to absorb water from the soil.,run_1,0.3486328125,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,34.86328125,,
"Le nyateƒe me la, esime esia nɔ edzi yim la, amewo nɔ anyi, siwo dome ɖevia dada hã nɔ, gake wo dometɔ aɖeke mete ŋu ɖo aɖaŋu na tagbɔsesẽtɔ la be wòadzudzɔ ɖevia ƒoƒo o.","In fact, while this was going on, there were people, including the child's mother, but none of them could advise the crazy man to stop beating the child.","In the household, when this one goes up there, the people sit down, among whom even the child's mother is there, but none of them is able to give a signal to the diviner to stop beating the child.",run_1,0.583984375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,58.3984375,,
Numekulawo ɖee fia be tsinono ɖea sukli ƒe agbɔsɔsɔ si le ŋutilã me dzi kpɔtɔna eye wòkpɔa ame ta tso suklidɔ me elabena nunyiamewo abe Vitamin kple bubuawo yɔ tsi me fũ,Researchers have shown that drinking water reduces the amount of glucose in the body and protects against diabetes as water is full of nutrients like Vitamin and others,Researchers have shown that drinking the water left over from boiling rice can improve hair growth and they see it benefiting people from rice cooking because nutrients like Vitamins and others dissolve into the water,run_1,0.28759765625,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,28.759765625,,
Zimenɔla la ɖe gbeƒãe be yewoaɖo dedienɔnɔdzikpɔla bubuwo ɖe zã me.,The chairman announced the deployment of more security forces in the night.,The suspect was taken to court for allegedly attacking other residents at night.,run_1,0.271484375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,27.1484375,,
Woaɖo xɔdzisasrãwo ɖe atikplɔƒea hena dedienɔnɔ.,A fence will be built around the staff quarters for security.,We have submitted the rental documents to the landlord for permanent residence.,run_1,0.1986083984375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,19.86083984375,,
Míayi edzi alé ŋku ɖe tsaɖilawo ƒe teƒe bubu siwo le Ashanti nutoa me ŋu le míaƒe nusɔsrɔ̃ si gbɔna me.,we will continue look at the other tourist site in the Ahanti region in our next lesson.,We also want to draw attention to other areas belonging to the Ashanti chiefs in our upcoming report.,run_1,0.36865234375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,36.865234375,,
Wogblɔ be adzodada si Nana Agradaa zã tsɔ xɔ ga le ameawo si la ɖo eƒe gbedoxɔ me fifia.,It is said that the extortion used by Nana Agradaa to extort money from the people has now reached his temple.,It is said that the money doubling ritual that Nana Agradaa used to collect money from the people who are currently in her custody/detention center.,run_1,0.615234375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,61.5234375,,
"Ne èkpɔ nusiawo katã la, efia be no me kansa le nu gblẽm le wò susu ŋu, Kpɔ wò ɖɔkta enumake.","If you see all these, it means that breast cancer is killing your memory, See your doctor immediately.","If you notice all these symptoms, it shows that there may be cancer growing in your body, See your doctor immediately.",run_1,0.4375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,43.75,,
"Ehiã be ame nate ŋu atsɔ nu siwo katã nye koléra (le kpɔɖeŋu me, nudodowo, nudodowo kple kpluwo me) la aƒle ahawɔ wo ɖokuiwo nyuie.","Proper disposal and treatment of all materials that may have come into contact with the feces of other people with cholera (e.g., clothing, bedding, etc.) are essential.","It is important that people wash their hands thoroughly with all types of soap (for example, bar soap, liquid soap, and powder soap) to prevent cholera.",run_1,0.6396484375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,63.96484375,,
Amewo dina ɣesiaɣi be nu nyuitɔ na yewo ɖokuiwo nenye be edi be yewodzudzɔ dɔwɔwɔ hã.,People always want the best for themselves even if it requires them to stop working.,Those people also thought that their leader was good and that it was right that they also continue working.,run_1,0.461181640625,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,46.1181640625,,
Wokpe amedzrowo be woade poliswo ƒe dɔwɔƒea.,Residents were invited to attend the grand opening of the police station.,Residents said they had reported to the police station.,run_1,0.50244140625,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,50.244140625,,
Dziɖuɖua le klalo be yeaɖe gbeƒã asi yeye siwo woatsɔ akpe ɖe kokoo ƒe asiwo ŋu le kwasiɖa si gbɔna ƒe ŋkeke gbãtɔ dzi ne wodze ɣeyiɣi kple teƒe siwo woawɔ kokoo la gɔme.,The government is ready to announce the new prices that would be added to the coco prices on the first day of the week coming when they launch the time and places for the cocoa.,The competition is expected to receive new applications that will be added to the previous ones on the first day of next week before the journey begins and the venues where the competition will be held are announced.,run_1,0.332275390625,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,33.2275390625,,
Nutoa me ŋgɔnɔlawo ɖoe be yewoakpɔ ale si nutoa me tɔwo wɔa dɔe.,Local leaders have plans underway to ensure regional development .,The children asked the elders to show them how the fishermen do their work.,run_1,0.14013671875,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,14.013671875,,
"Le esiawo katã me la, NPP ƒe Sewɔtakpekpe me tɔwo meda asi ɖe NDC ƒe Sewɔtakpekpe me tɔwo ƒe biabia dzi o. Woɖe eme be togbɔ be yewodi be woaɖe Ganyawo ƒe Dɔdzikpɔla le dɔme hã la, yewoazã yewoƒe ŋutetewo.","Within all this, the NPP Members of Parliament did not support NDC Members of Parliament request. They explained that although they want the Finance Minister to be sack but they will use their means","In all these matters, the NPP's Parliamentary members did not respond to the NDC's Parliamentary members' questions. They indicated that just as they were asked to also present the Auditor General's Report, they would use their own discretion.",run_1,0.66357421875,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,66.357421875,,
"Ebia tso dziɖuɖua si be wòava kpe ɖe Bomaaman ŋu, elabena wokplɔa wo yia afisiafi","He asked the government to come to the aid of Bomaaman, because they are taken away everywhere","Ebia abandoned the idea of joining the Bomaaman group, because they were taken away to various places",run_1,0.56201171875,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,56.201171875,,
"Ŋku- bli, karɔt, koklozi, ayi, atadi, salmon, nagoti.","Eyes- maize, carrots, eggs, beans, pepper, salmon, sweet potato.","Onion, carrot, chicken gizzard, egg, tomato, salmon, mushroom.",run_1,0.71142578125,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,71.142578125,,
Akɔntabubudɔwɔƒea awɔ etɔ sinua axe fetuawo ɖe game dzi.,The accounts office will do its best to pay the salaries on time.,The accounting department has received three hundred thousand dollars in revenue.,run_1,0.352783203125,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,35.2783203125,,
"Sɔhɛ aɖewo metea ŋu xɔa dɔ le sukunuwuɣi o, gake eda ga geɖe ɖe eƒe dɔwo me le nutoa me be wòakpe ɖe nyɔnuwo ŋu be woadzidze aƒemedɔwo ɖe edzi.","Some youths fail to get jobs after graduation, but he has injected more money into his businesses in the area to help women increase household income.","Some women do not necessarily get jobs in the formal sector, but they put much effort into their work in the informal sector to support women so that they can focus on household chores.",run_1,0.455078125,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,45.5078125,,
"Ame aɖewo mehiã ale gbegbe be wometea ŋu wɔa atikewɔnyawo o, eye zi geɖe la, woɖea wo ɖe aga le woƒe aƒewo me.",Some people are too poor to access medical services. They are usually quarantined in their homes.,"Some people do not need to be told every day that they should do their chores, and most of the time, they do them on their own at home.",run_1,0.25146484375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,25.146484375,,
"Azɔ hã, nyɔnu tsitsi aɖe tso fofoa ƒe ƒomea me xɔ ɖevia eye wòtsɔ avɔ ɣi tsyɔ ɖevia dzi eye ɖevia tasi ayɔ ŋkɔ si vifofoa di be yeatsɔ ana ɖevia.","Also, an old woman from the family of the father recived the child and cover the child with white cloth and the aunty of the child will mention the name that the father wants to give it to the child.","Also, a certain barren woman received a child from her mother-in-law's womb and she wrapped the child in cloth and the child was named after the ancestors that the grandparents wanted to give the child.",run_1,0.66650390625,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,66.650390625,,
Ametafatafae nye be woaxɔ ga le ame aɖe si anukwaremaɖimaɖitɔe to ametafatafa alo ameflunyawo me.,Swindle is to get money dishonestly from someone by cheating or deceiving them.,He/She investigated that money was taken from someone whose personal information was leaked through investigators or informants.,run_1,0.29931640625,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,29.931640625,,
"Sitsoƒedila aɖewo mate ŋu ade dɔwɔƒea o, elabena ame geɖewo dze dɔ le ɣleti sia dzi.",Some refugees cannot attend the workshop because many have fallen sick this month.,"Some applicants were unable to get jobs, because many people applied for work this month.",run_1,0.5166015625,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,51.66015625,,
Nutomekɔmitia kpɔa ame siwo le nutoa me ƒe dedienɔnɔ dzi.,The district committee is responsible for the security of the people in the area.,The committee looks into the welfare of those who are in prison.,run_1,0.5068359375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,50.68359375,,
Míate ŋu akpɔ ŋutete siawo ƒe akpa gãtɔ le ɣeyiɣi aɖewo me.,Most of the skills can be acquired over a given period of time.,Someone who has seen these same things in certain periods before.,run_1,0.18017578125,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,18.017578125,,
"Abe alesi hamemetsitsiwo gblɔe ene la, gbeɖeka le susu aɖe ta míelɔ̃a kpakpaluʋui ƒe dzoa yiyi.","As the elders have said, one day for a reason we love to go to the quail fire.","And as for what the elders said, we are all of one mind in eagerly awaiting the dawn of a new era.",run_1,0.41357421875,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,41.357421875,,
"Togbɔ be atike aɖeke meli fifia o hã la, blanuilélenutsitikewo kpena ɖe ame mawo ŋu be woanɔ te ɖe enu vivivi.","Although there is no cure at present, antidepressants help such people to cope slowly.","The ancestor said that even if there is no medicine here, the herbalists/traditional healers still insist on people to be patient with difficult situations.",run_1,0.29345703125,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,29.345703125,,
Wona nɔvinyenyɔnu dzea dɔnɔa ƒe ɖɔktawo gbɔ.,My aunt was promoted to the position of senior doctor of the hospital.,Those are the sick people who go to the doctor's place.,run_1,0.18359375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,18.359375,,
"Esi afɔdzia ƒoa ƒu nɔa afima ŋkeke geɖe ta la, ame la sena le eɖokui me be agba le yeƒe ali kple axame me.","Because the solid waste gathers and remains there for days, the person feels heaviness behind the loins and the abdomen.","When a person sleeps in a bent/curled up position for many nights, the person will feel pain in their joints and back.",run_1,0.3984375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,39.84375,,
Anyigbatata ƒe akpa aɖee nye ale si nàde dzesi mɔnu siwo katã ado dzidzɔ na amee.,Mapping an area involves identifying all the boundaries for the area of interest.,The foundation of happiness is knowing how to accept all the things that will bring joy to a person.,run_1,0.0999755859375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,9.99755859375,,
Nu siawoe nye vifofo si aƒle wo dome akpa gãtɔ.,These things is the father who will buy most of them.,The jealousy that exists among siblings is the most dangerous.,run_1,0.1273193359375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,12.73193359375,,
"Zi geɖe la, wozãa agbeli aŋgbawo alo aŋgba bubu si sɔ na esia.",They usually use cassava leaves or a similar leaf for this.,"In many places, they use cassava flour or another flour that is suitable for it.",run_1,0.734375,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,73.4375,,
Woawɔ kpekpe kpui aɖe atsɔ adzro mɔ si dzi sitsoƒedila siawo ato ayi ŋgɔe me.,There will be a brief meeting to discuss the way forward for these refugees.,They have built a small bridge to replace the road that those settlers had previously used.,run_1,0.241455078125,ewe-eng,ewe,eng,claude-sonnet-4-6,output_combined/ewe-eng/ewe-eng_claude-sonnet-4-6.csv,24.1455078125,,
